epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,483.641,0.0458,1,1,0.00035,0.000554516,0.000554516,0.000554516
2,721.496,0.0002,1,1,7e-05,0.0010882,0.0010882,0.0010882
3,983.659,5e-05,1,1,3e-05,0.00159988,0.00159988,0.00159988
4,1244.3,2e-05,1,1,1e-05,0.00156798,0.00156798,0.00156798
5,1523.93,1e-05,1,1,1e-05,0.00153497,0.00153497,0.00153497
6,1773.62,1e-05,1,1,1e-05,0.00150197,0.00150197,0.00150197
7,2056.4,1e-05,1,1,1e-05,0.00146896,0.00146896,0.00146896
8,2271.27,1e-05,1,1,0,0.00143595,0.00143595,0.00143595
9,2930.62,0,1,1,0,0.00140295,0.00140295,0.00140295
10,3142.05,0,1,1,0,0.00136994,0.00136994,0.00136994
11,3480.3,0,1,1,0,0.00133693,0.00133693,0.00133693
